service_id,date,exception_type
2,20170821,1
3,20170821,2
2,20170822,1
4,20170822,2
6,20170828,1
3,20170828,2
6,20170829,1
4,20170829,2
6,20170830,1
2,20170830,2
6,20170831,1
2,20170831,2
8,20170901,1
10,20170901,2
6,20170904,1
3,20170904,2
6,20170905,1
4,20170905,2
6,20170906,1
2,20170906,2
6,20170907,1
2,20170907,2
8,20170908,1
10,20170908,2
