variant_id,stop_id
635600,1249
635600,27
635601,26
635601,3133
636930,638
636930,3124
636931,3123
636931,636
636932,638
636932,3124
636932,3431
636933,695
636933,3123
636933,636
636934,638
636934,3124
636934,3431
636935,695
636935,3123
636935,636
636936,638
636936,705
636937,706
636937,639
636938,706
636938,639
636939,638
636939,3124
636940,3123
636940,636
636941,638
636941,3124
636941,3431
636942,695
636942,3123
636942,636
636943,638
636943,3124
636943,3431
636944,695
636944,3123
636944,636
636945,638
636945,705
636946,706
636946,639
637052,616
637052,1248
637052,711
637052,2279
637052,3597
637052,3604
637052,3601
637052,3663
637052,1083
637053,3600
637053,3603
637053,3596
637053,3415
637053,2828
637053,1819
637054,711
637054,3422
637054,3607
637055,3608
637055,3415
637055,2828
637056,616
637056,1248
637056,711
637056,2279
637056,3597
637056,3604
637056,3616
637057,3617
637057,3603
637057,3596
637057,3415
637057,2828
637057,1819
637058,711
637058,3607
637058,3641
637058,3027
637059,3640
637059,3608
637059,3415
637059,2828
637060,616
637060,1248
637060,711
637060,2279
637060,3597
637060,3604
637061,3600
637061,3603
637061,3596
637061,3415
637061,2828
637061,1819
637062,3420
637062,2782
637062,3640
637062,777
637062,2115
637063,2114
637063,3611
637063,2781
637063,3415
637064,3720
637064,3657
637064,3668
637064,1979
637064,1702
637064,2076
637064,3717
637064,3674
637065,3673
637065,1082
637065,1703
637065,3668
637065,1979
637065,3670
637065,3658
637065,3720
637065,3415
637066,2305
637066,3646
637066,3036
637066,1979
637066,1702
637066,3666
637066,3722
637067,3667
637067,1703
637067,1731
637067,3037
637067,3647
637067,2274
637068,3604
637069,3689
637069,1093
637069,3620
637069,3617
637069,3603
637069,3598
637069,3415
637070,616
637070,1248
637070,711
637070,2279
637070,3597
637070,3604
637070,3601
637070,3663
637070,1083
637072,616
637072,1248
637072,711
637074,616
637074,1248
637074,711
637075,616
637075,1248
637075,711
637075,2279
637075,3597
637075,3604
637075,3601
637077,616
637077,1248
637077,711
637077,2279
637077,3597
637077,3604
637077,3601
637077,3664
637077,3614
637077,3660
637077,1082
637078,3600
637078,3603
637078,3596
637078,3415
637078,2828
637078,1819
637079,3415
637079,2828
637079,1819
637081,1081
637081,3665
637081,3600
637081,3603
637081,3596
637081,3415
637081,2828
637081,1819
637082,1200
637082,3662
637082,3603
637082,3596
637082,3415
637082,2828
637082,1819
637083,1200
637083,3662
637083,3600
637083,3603
637083,3596
637083,3415
637083,2828
637083,1819
637084,1200
637084,3662
637084,3600
637084,3603
637084,3596
637084,3415
637084,2828
637084,1819
637085,1200
637085,3662
637085,3600
637085,3616
637085,3603
637085,3596
637085,3415
637085,2828
637085,1819
637086,1200
637086,3662
637086,3600
637086,3616
637086,3603
637086,3596
637086,3415
637086,2828
637086,1819
637087,711
637087,3422
637087,3607
637087,3641
637087,3621
637088,711
637088,3422
637088,3607
637088,3641
637090,3640
637090,3608
637090,3415
637090,2828
637091,3640
637091,3608
637092,3608
637092,3415
637092,2828
637093,3620
637093,3640
637093,3608
637093,3415
637093,2828
637094,3620
637094,3640
637094,3608
637094,3415
637094,2828
637097,3617
637097,3603
637097,3596
637097,3415
637097,2828
637097,1819
637098,616
637098,1248
637098,711
637098,2279
637098,3597
637098,3604
637099,616
637099,1248
637099,711
637099,2279
637099,3597
637099,3604
637099,3616
637100,616
637100,1248
637100,711
637100,2279
637100,3597
637100,3604
637101,616
637101,1248
637101,711
637101,2279
637101,3597
637101,3604
637102,3617
637102,3603
637102,3596
637102,3415
637102,2828
637102,1819
637103,3617
637103,3616
637103,3603
637103,3596
637103,3415
637103,2828
637103,1819
637104,3617
637104,3603
637104,3596
637104,3415
637104,2828
637104,1819
637105,3640
637105,3608
637105,3415
637105,2828
637106,711
637106,3607
637106,3641
637106,3027
637107,3640
637107,3608
637107,3415
637107,2828
637108,1297
637108,3640
637108,3608
637108,3415
637108,2828
637109,616
637109,1248
637109,711
637109,2279
637109,3597
637109,3604
637110,3600
637110,3616
637110,3603
637110,3596
637110,3415
637110,2828
637110,1819
637111,616
637111,1248
637111,711
637111,2279
637111,3597
637111,3604
637113,2782
637113,3641
637114,3420
637114,2782
637114,3026
637114,3640
637114,777
637115,3420
637115,2782
637115,3640
637115,777
637115,2115
637116,3420
637116,2782
637117,2782
637118,2782
637118,3641
637119,2114
637119,3611
637119,2781
637119,3415
637120,2114
637120,3611
637120,2781
637120,3415
637121,2114
637121,3611
637121,2781
637121,3415
637122,2114
637122,3611
637122,2781
637123,2114
637123,2781
637123,3415
637124,2114
637124,2781
637124,3415
637125,2781
637125,3415
637126,2781
637126,3415
637128,3421
637128,3657
637128,3669
637128,1702
637128,2076
637128,3064
637128,3717
637128,3674
637130,3657
637130,1979
637130,1702
637132,3669
637132,1702
637133,711
637133,3669
637133,1702
637134,1081
637134,2076
637134,3064
637134,3717
637134,3674
637135,3421
637135,3720
637135,3657
637135,3669
637135,1702
637135,2076
637135,3717
637135,3674
637136,3720
637136,3657
637136,3669
637136,1702
637136,2076
637136,3717
637136,3674
637137,3244
637137,3720
